English;Russian
air;воздух
animal;животное
ant;муравей
apple;яблоко
bacon;бекон
banana;банан
bean;боб(фасолина)
bear;медведь
bread;хлеб
bread and butter;хлеб с маслом
breakfast;завтрак
butter;масло
cafe;кафе
cake;торт ,пирожное
cheese;сыр
cherry;вишня
chick;цыплёнок, птенец
chicken;курица
chimp;шимпанзе
cloud;облако
cock;петух
coffee;кофе
cornflakes;кукурузные хлопья
cow;корова
cream;сливки
crocodile;крокодил
cucumber;огурец
deer;олень
dog;собака
drink;напиток
duck;утка
egg;яйцо
eggcup;подставка под яйцо
elephant;слон
farm;ферма
fox;лисица
frog;лягушка
garden;сад
rose garden;розарий 
giraffe;жираф
goose;гусь
grape;виноградина
grapes;виноград
ham;ветчина
hamburger;гамбургер
horse;лошадь
ice cream;мороженное
jam;джем
juice;сок
kangaroo;кенгуру
lake;озеро
lemon;лимон
lion;лев
milk;молоко
moon;луна
morning;утро
mouse;мышь
nest;гнездо
net;сеть
omelette;омлет
orange;апельсин
pet;домашний питомец(животное)
pig;поросёнок
pizza;пицца
plant;растение
plum;слива
pond;пруд
porridge;овсяная каша
potato;картофелина
rain;дождь
rainbow;радуга
rainwater;дождевая вода
rice;рис
rose;роза
salad;салат
sandwich;бутерброд
sea;море
sheep;овца
sky;небо
snake;змея
snow;снег
snowball;снежок
sparrow;воробей
star;звезда
stone;камень
storm;гроза
sugar;сахар
sun;солнце
sunflower;подсолнечник
sunshine;солнечный свет
sweet;конфета
tail;хвост
tea;чай
teddybear;игрушечный медвежонок
tiger;тигр
tomato;помидор
tree;дерево
tulip;тюльпан
turtle;черепаха
vanilla;ваниль
veg;овощи
vegetable;овощ
water;вода
mineral water;минеральная вода
wind;ветер
wing;крыло
yogurt;йогурт
zoo;зоопарк
