English;Russian
alphabet;алфавит
bag;сумка(портфель)
ball;мяч
bank;банк
bathroom;ванная комната
beauty;красота
boot;башмак(ботинок)
box;коробка(ящик)
bus;автобус
cage;клетка
candle;свеча
cap;кепка
car;машина
carpet;ковёр
castle;замок
chess;шахматы
chest;сундук
cinema;кино
clock;часы
coat;пальто
coin;монета
colour;цвет
computer;компьютер
cup;чашка
cupboard;буфет, шкаф
dance;танец
day;день
all day long;целый день
day by day;день за днем
desk;парта, письменный стол
diary;дневник
dictation;диктант
dinner;обед
disk;диск
district;район
doll;кукла
door;дверь
doorbell;дверной звонок
dream;мечта
evening;вечер
face;лицо
fridge;холодильник, морозить
fun;веселье, удовольствие
game;игра
garage;гараж
gym;спортивный зал
hair;волосы
hall;прихожая
hat;шляпа
health;здоровье
help;помощь
hill;горка
holiday;отпуск
home;дом
at home;дома
hook;крюк
hotel;гостиница
house;дом(особняк)
interest;интерес
ice;лёд
job;работа
joy;радость
jug;кувшин
kingdom;королевство
kiss;поцелуй
kitchen;кухня
kite;воздушный змей
lamp;лампа
lesson;урок
life;жизнь
lorry;грузовик
lotto;лото
lunch;ланч
magazine;журнал
map;карта
match;спичка
menu;меню
mess;беспорядок
middle;центр
mug;кружка
music;музыка
name;имя
newspaper;газета
number;номер
page;страница
pain;боль
park;парк
party;вечеринка
pen;ручка
pencil;карандаш
phone;телефон
photo;фотография
piano;пианино
picnic;пикник
picture;картина
pie;пирог
ping-pong;Пинг-понг
place;место
plane;самолёт
plate;тарелка
playroom;игровая комната
pointer;указка
port;порт
pot;горшок
present;подарок
programme;программа
question;вопрос
quilt;стёганое одеяло
raincoat;плащ
result;результат
roof;крыша
room;комната
rouble;рубль
square;площадь
shelf;полка
ship;корабль
shop;магазин
shower;душ
skating rink;каток
sledge;санки
snowboard;сноуборд
snowman;снеговик
sock;носок
sofa;диван
song;песня
soup;суп
spoon;ложка
sport;спорт
stage;театральная сцена
stocking;чулок
street;улица
success;успех
supper;ужин
swimming pool;бассейн
table;стол
telephone;телефон
television;телевизор
tent;палатка
text;текст
thing;вещь
throne;трон
tower;башня
toy;игрушка
train;поезд
true;правда
tune;мелодия
van;фургон
university;университет
use;польза
wall;стена
window;окно
windowsill;подоконник
wonder;чудо
