English;Russian
country;страна
abroad;за границу
Africa;Африка
America;Америка
Asia;Азия
Australia;Австралия
Britain;Британия
Canada;Канада
France;Франция
India;Индия
Italy;Италия
Spain;Испания
Scotland;Шотландия
Russia;Россия
Europe;Европа
USA;США
capital;столица
city;крупный город
town;город
hotel;отель
Glasgow;Глазго
London;Лондон
Madrid;Мадрид
Moscow;Москва
Paris;Париж
Rome;Рим
year;год
seasons;времена года
spring;весна
summer;лето
autumn;осень
winter;зима
month;месяц
january;январь
february;февраль
march;март
april;апрель
may;май
june;июнь
july;июль
august;август
september;сентябрь
october;октябрь
november;ноябрь
december;декабрь
week;неделя
monday;понедельник
tuesday;вторник
wednesday;среда
thursday;четверг
friday;пятница
saturday;суббота
sunday;воскресенье
weekend;выходные
time;время
yesterday;вчера
today;сегодня
tomorrow;завтра
weekday;будний день
tonight;сегодня ночью
weather;погода
weathercock;флюгер
weatherman;метеоролог
