Russian;English
добавлять;add
ответ(отвечать);answer
спрашивать;ask
становиться;become
начинать;begin
дуть, выдыхать;blow
приносить;bring
строить;build
покупать;buy
чистый, чистить;clean
закрывать;close
приходить;come
готовить, повар;cook
считать;count
решать;decide
вести;drive
одевать;dress
есть(еда);eat
чувствовать;feel
вставать;get up
давать;give
идти;go
расти;grow
иметь;have
помогать;help
прятать;hide
обнимать;hug
приглашать;invite
присоединять;join
знать;know
покидать;leave
жить;live
смотреть;look
терять;lose
любить;love
делать;make
встречать;meet
открывать;open
играть;play
класть, ставить, ложить;put
ехать(на лошади);ride
звонить;ring
сказать;say
видеть;see
светить;shine
показывать;show
стрелять;shoot
петь;sing
сидеть;sit
кататься на коньках;skate
произносить;spell
стоять;stand
воровать, красть;steal
брать, хватать;take
говорить( t );talk
рассказывать;tell
думать;think
бросать;throw
понимать;understand
навещать;visit
просыпаться;wake
ходить;walk
хотеть;want
писать;write
